Temperatura Media,Precipitazioni,Velocità del Vento,Tipo di Evento,Durata (Ore),Intensità,Giorno della Settimana,Stagione,Evento Estremo,Predict
3.9749537420526657,350.4606615155613,46.23253255341664,3.0,5.0,4.0,Lunedì,Estate,True,75.90787168106974
35.51785645439983,181.84384914214033,90.7814159127172,1.0,5.0,3.0,Venerdì,Estate,False,56.102268356019735
34.41053283390991,163.1316674926815,8.92457609788606,3.0,10.0,4.0,Sabato,Inverno,False,43.841950958497875
6.332885103453389,206.01909673341802,61.344847589035886,0.0,2.0,1.0,,Autunno,False,49.23816963662321
23.012536632649674,315.85317040826567,164.15147240049137,2.0,4.0,2.0,Sabato,Estate,True,86.48954231149717
37.19771590397962,152.77123657386025,75.74082694811224,3.0,3.0,3.0,Mercoledì,Autunno,False,49.287644780777164
36.75924487321704,394.6390206963174,72.53969078529632,1.0,4.0,2.0,Giovedì,Primavera,True,97.20954667975823
24.090447034685983,349.4332668722069,62.61881907958555,3.0,5.0,3.0,Sabato,Inverno,True,83.37566939280573
9.80055870388222,336.9565532565005,152.26915744920683,2.0,14.0,5.0,Giovedì,Estate,True,85.55839400738546
39.81550767519145,302.8372728680592,24.66728214089706,2.0,,1.0,Mercoledì,Primavera,True,74.97883509025898
,250.31992533847028,157.1763800550273,,8.0,5.0,Martedì,Autunno,True,65.51309970927625
16.217720667064228,263.263119005476,82.10063637045684,2.0,5.0,3.0,Venerdì,Inverno,True,65.72800363826016
42.2131063478436,140.2660877553559,24.422737065898346,1.0,6.0,2.0,Mercoledì,Inverno,False,43.1594231620141
39.10707519810039,184.65168403202566,51.86359928154718,3.0,4.0,3.0,Giovedì,Autunno,False,53.84881929398996
32.000731206525884,288.1122656014885,114.83396978076583,2.0,1.0,4.0,Mercoledì,Autunno,True,78.70606946033206
36.08514703407546,197.22331617342974,2.3964479574975384,2.0,6.0,3.0,Lunedì,Autunno,False,
21.053755019571703,216.0585318015681,104.6445775633559,0.0,11.0,2.0,Domenica,,True,
5.691664919436754,114.27302137794413,,2.0,8.0,,Martedì,Inverno,False,32.78300640668583
10.451622056478184,215.86056635356815,74.46620908445804,2.0,4.0,4.0,Sabato,,False,53.754220796102885
11.963978981223299,63.09032476096337,0.5623490837783018,2.0,7.0,3.0,Sabato,Primavera,False,16.263493554937497
50.0,132.74562601920582,143.0408017603892,1.0,8.0,,Giovedì,Autunno,False,55.85320537988009
22.552623834683782,228.7252590712872,100.12086409713268,3.0,12.0,4.0,Giovedì,Primavera,True,62.522925374375845
6.833492339650487,62.60946501532362,88.51672302400873,2.0,6.0,4.0,Giovedì,Autunno,False,23.423613007360743
2.9062359720567805,24.37616703685893,121.81765127488626,1.0,4.0,2.0,Sabato,Primavera,False,17.928869326477447
23.501876434787544,108.58298397608152,20.271648009856257,4.0,7.0,2.0,Mercoledì,Autunno,False,30.794324526638196
5.719611852522956,151.6989468070958,154.82990077398665,3.0,6.0,2.0,Giovedì,Autunno,False,47.53866299457472
35.37590705846568,252.4439020355892,46.67610290165434,2.0,5.0,3.0,Lunedì,Autunno,True,65.76916281482298
24.956323984937512,261.8923777743328,152.6702285123143,2.0,2.0,5.0,Martedì,Inverno,True,75.13239560157925
18.4035627124097,146.15995252851627,80.16049644377009,3.0,5.0,2.0,Lunedì,Estate,False,42.76910896380318
23.41361232567045,322.66138306919936,184.7054769688628,3.0,5.0,3.0,Lunedì,Primavera,,90.02690800842728
49.839530479924434,47.26235583548356,196.15405902791733,0.0,2.0,4.0,Domenica,Inverno,False,27.487932860390448
16.208214615625167,154.52758235776557,,0.0,4.0,2.0,Domenica,Inverno,False,37.62236832236125
42.87986055741143,229.87566890190936,42.75131334082567,0.0,6.0,2.0,Sabato,Estate,True,
