Numero Veicoli,Tempo di Viaggio (minuti),Velocità Media (km/h),Tipo di Strada,Incidente Stradale,Tempo di Attesa,Tipo di Veicolo,Ora del Giorno,Tipo di Viaggio,Congestionamento,Predict
837.4620292832312,94.47647583031576,91.05067124139694,2.0,4.0,10.0,Auto,Sera,Pendolare,False,390.64295583480634
694.68508628865,5.367649641211347,72.43710742707776,0.0,5.0,6.0,Camion,Pomeriggio,Pendolare,False,301.2154616359468
1141.1015713166307,42.08733614051484,48.52676485927412,0.0,3.0,9.0,Camion,Pomeriggio,Lavoro,False,483.624858826589
1459.013211350928,92.20511801066732,106.94313586705417,0.0,8.0,12.0,Auto,Mattina,Turismo,False,627.99055063945
957.2566451294407,16.657476185676714,44.27789678271408,1.0,2.0,6.0,Auto,Mattina,Pendolare,False,401.1832699422935
1349.1999608696844,85.9697530740479,75.48395812842864,0.0,3.0,13.0,,Sera,Pendolare,False,588.1160977086167
1868.6458497843305,99.91491498246174,107.68219257734515,0.0,3.0,6.0,Furgone,Notte,Lavoro,True,809.7374721816743
1904.8309931650863,72.05779957161893,40.171377757957515,1.0,,10.0,Auto,Mattina,Pendolare,True,795.6011504649075
,53.107282663951544,76.9543507219008,0.0,6.0,15.0,Auto,Mattina,,True,805.0779441142106
2037.2559727607118,59.86715509653052,49.77674471266912,0.0,8.0,17.0,Auto,Mattina,Pendolare,True,847.7955590470447
,13.750270240399075,64.27724727658527,3.0,9.0,11.0,Furgone,Pomeriggio,Lavoro,True,630.711217967845
845.6002936341654,44.831963430955746,46.97743955163768,2.0,6.0,15.0,,Mattina,Lavoro,False,365.7829383484442
754.1429540225638,42.291083280003,43.7694998080992,1.0,10.0,11.0,Furgone,Pomeriggio,Pendolare,False,327.47535653545617
1798.398134673129,112.58986225878458,58.38111508837718,0.0,3.0,11.0,Auto,Pomeriggio,Pendolare,True,769.0632201250606
111.49319251887869,62.60312696003531,56.64858275636603,1.0,3.0,10.0,Auto,,Lavoro,False,80.37278992247188
1284.2752069052074,0.024025520990411664,14.452266080592238,,5.0,6.0,,Pomeriggio,Pendolare,False,518.0529702425578
1444.1608027750387,73.14408269880806,6.7738700693460885,1.0,4.0,15.0,Furgone,Sera,Turismo,False,1180.1488910280102
635.738702393765,78.32247790520742,,1.0,5.0,11.0,Furgone,Notte,Pendolare,False,304.1734839136505
1128.8021380918267,66.6689143943691,6.132410477997226,1.0,7.0,7.0,Furgone,Notte,Pendolare,,473.3612526984406
1759.2404010855143,4.136289054664322,84.08175415563157,1.0,5.0,8.0,Auto,Pomeriggio,Lavoro,True,730.1615733972945
1099.6334310850168,10.110552949702832,22.952267926990203,0.0,5.0,9.0,Furgone,Sera,Lavoro,False,449.77221869701464
1911.4493966082991,20.96031662650885,,0.0,2.0,18.15082882846153,Auto,Mattina,Lavoro,True,795.9253264332357
,4.307333656152719,53.81980785540316,3.0,8.0,14.0,Auto,Mattina,Pendolare,False,573.9410254773638
1521.6952364341726,35.82010660443797,63.829928328117646,0.0,5.0,,Auto,Mattina,Turismo,True,638.5731050534357
1811.590903702921,63.323873106425424,88.78982213336843,,3.0,9.0,Camion,Pomeriggio,Lavoro,,770.2704700531066
