PM10,PM2.5,CO2,Ore di Inquinamento,Indice di Qualità dell'Aria,Temperatura,Umidità Relativa,Tipo di Aria,Stagione,Allerta Smog,Predict
52.762842563565705,29.49132660915069,248.59466971604593,4.0,107.0,35.0701889164253,97.71853821147087,Industriale,Inverno,False,77.34431735593918
48.93370318520583,19.900346436909548,,8.866935279603924,113.0,39.45554337279624,61.70478412723859,Città,Primavera,True,97.86922154282229
70.2503005014297,27.810318114915415,110.67803441258005,3.0,100.0,-11.70486150283184,33.97960347193339,,Autunno,False,54.334824278911086
53.078048632486095,19.889372121312284,547.4960386163368,3.0,103.0,-14.95693092071852,28.856634163094796,Rurale,Estate,True,133.37837116153813
20.84710163846366,10.697170663699671,420.8297572921674,4.0,97.0,34.526120599672154,23.92166924383409,,Autunno,True,94.69895021545244
39.013527679371535,44.56584441598116,94.3020986253147,5.0,99.0,-7.840012048189067,9.86952096470185,Rurale,Inverno,False,48.39081579526687
41.87630369453548,31.215536748633074,174.10485118077847,7.0,97.0,12.277086818181374,,,Inverno,False,59.87007604396957
51.97423858931822,,138.00783620935601,8.0,105.0,7.141721611592068,13.144303166653003,Industriale,Primavera,False,55.66479675344506
61.88444919012459,24.237220243474034,388.80202376909983,2.0,116.0,-2.488171818404833,57.21128929828525,Città,Inverno,True,106.02062760824697
29.83004687962649,25.926440900099475,212.75192260964894,8.0,105.0,18.492196663006155,46.674067511433734,Rurale,Primavera,,61.869974945857535
49.93520540679154,21.485412776018922,184.06166347939597,8.0,103.0,12.12533859900742,84.09518543246654,Città,Primavera,False,60.38705942832423
40.85582531299693,3.455789240245558,361.94545311440356,2.0,101.0,4.235003352155417,45.429973786686986,Rurale,Inverno,True,86.02815391287801
25.014468119064365,25.080132603018022,496.8117890484133,8.0,106.0,31.583827173468464,2.924357993893234,Città,Autunno,True,130.2929718857182
41.17389708765289,48.86908682632876,329.2168146816399,1.0,107.0,39.05424076384643,89.18275175417719,Rurale,Inverno,True,97.74316679315535
46.19707876358658,30.192086749958364,151.12759172805286,4.0,95.0,,56.55072282623836,Città,Primavera,False,56.16147667466989
49.2169071134546,18.640649104181747,163.82086679744268,5.0,98.0,34.829986112943786,32.03060043822323,Città,Autunno,False,
49.008991214094856,20.630372641884342,284.80062766578004,6.0,,38.32434165966147,10.93059155831575,Città,Estate,False,
51.87364027763484,18.12058553573483,270.4683931406335,4.0,86.0,38.27062863504303,36.96194591248458,Città,Primavera,False,76.90400492571109
60.61765676649378,23.105352667117266,288.8166639228051,2.0,107.0,23.963455535310104,72.36609974686506,Città,,True,85.19077088135606
53.63123425070842,42.95837619723284,390.9399327159581,3.0,100.0,1.9874612457314527,,Città,Estate,True,109.95197516704911
57.52710503240835,23.393840399929406,309.1987049394511,,110.0,2.5953873401456136,93.64104509643512,Industriale,Primavera,True,88.45540865758448
51.505127586298634,41.655875408216524,175.23241604284118,3.0,102.0,38.839684831322565,94.2380723696115,Città,Primavera,False,67.16037164774444
46.1518132398062,17.630005345560324,388.24918812382833,3.0,95.0,-11.492181501498022,91.70262000060063,Rurale,Primavera,True,98.54738373493166
28.42408968384376,,551.7586473063327,7.0,111.0,27.507252984838182,56.073340167344554,Città,Inverno,True,128.86809952919498
29.23456961612958,17.832828418238044,276.06126323200976,4.0,95.0,19.772342784494853,87.21521731625175,Città,Inverno,False,71.11575489853605
55.855229324886956,12.842661252887186,356.36144449223957,4.0,107.0,36.23149582315236,13.286575491626905,Città,Autunno,True,93.16592219706888
,16.624735118411138,206.10268826482005,9.0,93.0,,75.78290056558879,Città,Primavera,False,62.647784102990954
58.10127002150691,11.725025215384449,41.66835145741442,2.0,113.0,35.16309608163381,24.08166322322156,Rurale,,False,30.45406138408874
29.6613672363492,17.365334154884515,442.58334437024894,7.0,,,83.22749909817621,Rurale,,True,104.36121270690836
45.19439296609139,28.718782159185515,458.7933059082867,,158.13043136113987,30.273438748331053,67.60659184934097,Industriale,Estate,True,116.80449193515898
74.38654935451147,14.128428451605803,143.3572289826123,3.0,95.0,-17.495793832299324,60.224381642694766,Città,Autunno,False,56.63878198351823
62.34213596695811,34.91384655769947,199.8746933319106,4.0,102.0,,64.95127378635307,Rurale,Inverno,,72.64311807954934
64.11356022141672,14.13232972138491,403.81043962797736,4.0,103.0,-8.56789279417371,55.38243105383307,Città,Estate,True,105.64908788057446
66.43380755448501,27.679948120252007,369.8331628846065,3.0,112.0,21.337432164085904,34.723167901025995,Città,Autunno,,
65.38439090578298,19.17236567865665,349.61536287003486,4.0,88.0,25.97564372974994,59.938096201673055,Industriale,Estate,True,97.20733611720453
45.19760488451703,21.251373092350676,408.6802732008702,2.0,80.0,-16.88126193566357,44.5219573895332,Città,Inverno,True,103.79588534246943
66.58409593710762,18.814914313300363,249.5682007319699,5.0,105.0,-0.6631434451871456,46.419565994639356,Città,Inverno,False,77.41483465284642
,38.862608919673974,224.06390830487499,4.0,104.0,-13.299455027012261,92.592399299129,Città,Autunno,False,75.0284102021736
68.53652796144829,,259.33773140887115,8.866935279603924,96.0,18.27745348615651,4.135032316292864,Città,Estate,True,85.58592970643608
39.896238217479066,7.7715226698676005,194.22514758661433,1.0,79.0,-4.5420904275677305,27.52989991680197,Città,Inverno,False,53.92251005051363
72.30451016632774,36.10730688974691,540.6494352910795,2.0,114.0,34.08007112909999,,Rurale,Estate,True,144.26416286401297
51.40617930411923,26.337152795531864,,5.0,106.0,-18.4360984330191,7.512764154303786,Città,Inverno,True,102.29487228032542
50.72170265449494,29.20486264782138,302.5626519436205,8.866935279603924,94.0,29.69298324340572,48.97821501510019,Città,Primavera,True,87.41098624420113
22.346522633756127,27.142316875690927,298.8895878617298,10.0,114.0,,96.80482469797875,Industriale,Estate,False,77.33880111274917
62.99413236010105,27.196465140656628,291.0038810406447,7.0,86.0,-11.478045567655249,87.82145616388092,Città,Primavera,True,87.97760197242192
42.013414192018864,42.48441631583073,288.0883592174123,3.0,107.0,19.95760926859352,50.792501770582035,Città,Primavera,True,87.21546262742041
17.96290784940677,34.22267779378471,355.27717449410727,2.0,92.0,7.0459705589750925,20.715869299909116,Industriale,Inverno,True,90.13337837115738
44.99994973326496,9.966368499812848,340.84973719115817,5.0,96.0,5.3952337412545575,48.20861638384804,Città,Autunno,True,85.65647975813626
38.77292158284639,22.283916533860083,173.33139102647152,3.0,102.0,11.236912568908284,18.992400587744395,,Inverno,,55.21172129369225
42.26199367663857,19.940211941969885,237.86145498678098,3.0,104.0,,41.11008419736736,Città,Inverno,False,68.22697387713572
27.55496211936777,12.323919443855287,149.80000039346,8.0,113.0,14.909595947271526,12.389849701433198,Industriale,Autunno,False,43.15605649204445
45.76295320099156,32.480266133803234,276.13643867345144,3.0,96.0,-5.6165766676999915,25.992838640437377,Città,Estate,False,81.94828014850906
78.4184296136222,34.63167472261577,378.6765972604361,4.0,102.0,28.024236496217398,21.30163274394875,Città,Primavera,True,113.11351822522019
,17.099228207742676,283.67717371719317,6.0,91.0,10.645567605783011,12.258632708916927,Rurale,Primavera,False,75.59099008185396
43.67296545103983,30.50153556759372,295.12324670035076,,111.0,-11.757906197720985,50.2787865399881,Rurale,Inverno,False,84.3271532024196
39.58236677549983,25.192999457106204,192.5964901327721,9.0,103.0,-18.782108903337022,96.3863326323108,Industriale,Autunno,False,60.47120784204685
8.919587404082293,28.04918976959154,487.9754920173108,2.0,97.0,-13.55515148430483,6.176073270681237,Città,Autunno,True,111.49065053252346
