Indice Azionario,Volume di Scambi,Variazione Percentuale,Settore,Banca Centrale,Tasso di Interesse,Inflazione (%),Divisa,Performance del Mercato,Predict
19649.945655416348,852509.0963132051,-5.498705243967437,0.0,ECB,1.5952803384739114,0.6812353477469315,JPY,False,348862.51704639976
12875.547135117304,1277265.421659148,-1.5101515758994726,,FED,1.8621185899627106,2.919939336520712,JPY,True,516056.085487391
11870.504284265795,1129520.4015799444,2.2041756157292056,1.0,FED,1.8652690601211825,3.3488699196213134,EUR,True,456556.8031808072
13649.552197948025,742962.6723732431,7.6078283415958445,0.0,BoJ,3.2935999235304574,4.198045895284185,USD,False,302646.4113941448
15861.087660467188,1205734.1899556834,-8.616560208765453,1.0,BoJ,2.4120936086624223,2.9942092398995266,USD,True,488636.3877344185
11745.994883548841,355705.40709816327,-8.549775230171994,0.0,FED,3.1092998402281715,1.5851445181731973,JPY,False,146978.8508376388
15779.906279038352,1068967.5809567706,-0.9594534412983524,0.0,,2.2598041931432253,3.9319557260979745,EUR,True,433898.8030036354
20353.27917646907,976319.7670885698,0.12974233753478615,2.0,ECB,2.2148000179409975,2.3724732138822477,USD,False,398669.2444544831
13292.023934632154,875621.5820256209,3.858423621988244,1.0,BoJ,1.6900138888036274,1.428896471181819,EUR,False,355566.2140688256
11978.970584343188,1567108.1443399298,3.007053454339843,0.0,,2.2655524917691867,2.2045409412512376,USD,False,
11460.814550213581,1876569.9194979044,-4.90051281282253,2.0,BoJ,0.837887360105666,,JPY,True,755211.3135166847
18216.884941025208,1000838.7811398646,6.469232453536854,0.0,ECB,2.2668655883230606,,EUR,True,407623.56027884665
19013.093033987712,723972.7613949168,-6.786393564328918,,ECB,,2.299162584307019,EUR,False,297192.984492849
13003.994489524426,,1.7400107169116996,1.0,FED,2.1058480750548885,2.0448747730911254,USD,True,558715.424522264
11299.12213565341,1095766.0805064952,6.920990391216826,1.0,ECB,2.5499834482699315,1.8889488551591964,JPY,True,442827.4652549377
14424.177950626297,506818.53923901153,-6.167600776498361,0.0,,1.1158777312391206,0.4162097889757843,USD,False,
15366.172873316465,1415997.1083322566,5.2477007493451495,2.0,BoJ,2.8439595376207905,1.9140345964840908,USD,True,572546.3620223791
19213.69580715314,759011.0207486046,-3.0016251783572017,2.0,ECB,2.0910678531181444,0.0,EUR,False,311289.2862972674
14982.988973707335,752187.3241195799,3.0154034463457773,3.0,BoJ,1.5024565741440745,1.2707145132880031,EUR,False,306868.72831800417
14253.359756885151,1329781.9370874367,6.606822962861635,2.0,ECB,0.4415872336163804,2.4966470729110113,JPY,True,537615.4401023212
16244.784897299985,582945.7517630926,2.3192072812347355,1.0,ECB,-0.2171196419583694,0.6530530571045625,USD,False,239676.6785056133
19861.043546311354,1637429.4145454406,-9.96812047279315,1.0,BoJ,2.0581611472222434,1.899101262485733,USD,True,662914.1896126063
15150.488352758777,1248385.2421818674,8.242652499013055,1.0,FED,2.875647304791732,,USD,True,505415.94074435026
,917517.2932453487,5.792355383812801,0.0,ECB,2.236661884202247,1.3783337310606956,USD,False,371871.0738831937
18184.064885483138,1787380.943683798,-5.737310139185636,0.0,,3.5229465264365203,1.78937893897336,USD,True,722224.8559656846
11206.393254300912,,-9.11094440686307,1.0,FED,1.6278955085355566,3.190576834708602,EUR,True,
15416.591046664824,1062226.4939085916,7.9772501574548365,1.0,BoJ,3.9436767801500205,3.3258457043413183,USD,,431058.8294321341
,815532.4276830127,1.1567193346875637,0.0,BoJ,2.2290772919562034,1.4182094120824862,USD,False,331800.4408764526
18539.08227039399,1541978.9183373046,-5.9567808680182965,2.0,FED,3.007138595471491,3.816072965061343,USD,True,624206.0088869059
13920.895452703993,238493.83222675987,-0.8779680213831776,0.0,FED,1.9249466981927894,0.30797225126384986,USD,False,100966.11567310564
15921.18082675703,1035765.0086027071,3.8657599299462664,2.0,ECB,1.471073803113857,0.9918610310563538,JPY,True,420675.24892377167
9856.639504058554,1064008.064797064,7.6491425194789215,1.0,ECB,1.4455613025545277,2.5502987194524454,USD,True,429547.411548953
11478.187118906155,571495.1908942454,-8.369519404913996,0.0,FED,-0.3476450075153048,2.9603954565174826,JPY,False,233187.67730137965
13185.832074280846,521272.1945477884,-6.951781159359019,1.0,ECB,1.4159523079794671,2.531426566968603,USD,False,213781.82029259586
14953.16055970109,1761414.5595210944,-7.179642275981985,2.0,BoJ,2.104853734563714,1.698933657281532,USD,True,710545.6521038631
12001.259429059715,1451860.6862749548,6.246316416767119,0.0,,3.892746031388067,1.6598361608670553,JPY,True,585546.0275448891
16761.308370973424,492947.5794880802,8.109809824450966,,FED,1.4160435444029507,0.965317755974197,USD,False,203885.17710558634
13054.306068476519,1108394.045888075,4.824997563049763,1.0,FED,2.5932019909618287,1.0547183130978217,USD,True,448580.3057821332
11534.957534264126,387574.4370518994,1.7835880723635427,4.0,ECB,1.5337785989740191,2.5157307643915265,JPY,False,159644.11455207987
11764.496368562048,881358.3688553543,,1.0,BoJ,0.48599949688792865,1.8537489938878227,EUR,False,357248.3353364455
12397.135752727641,0.0,2.2379338599242367,0.0,ECB,2.6279286369814363,2.583292831932287,EUR,False,4959.301887863042
13132.19830510758,1061675.3130552343,-7.79219423259895,0.0,FED,3.0334616746379135,2.553145697393339,EUR,True,429921.44610529026
14951.776582582765,1099259.5678253951,-1.6090936172944232,0.0,FED,1.7256059219188025,0.0,USD,True,445684.21594446775
,254496.9686104654,,1.0,ECB,1.6478016780841236,2.717926106996742,USD,False,109106.33452176958
17879.03940739473,1046199.0345198674,-1.5921826397263672,1.0,BoJ,,1.1506036569710285,USD,True,425630.9111343769
14964.364286127344,1190971.1555834736,3.8358053631139555,2.0,FED,1.5507055221001067,0.45039434276033496,EUR,True,482374.9751089131
13555.86829504653,870476.3763533304,3.9006358930858447,1.0,ECB,3.129064201126116,0.7938636524759979,JPY,False,353613.6779865295
12333.84130186177,1987158.6526895054,,3.0,ECB,2.702194041501782,3.520102381033942,JPY,True,799796.1834716626
11985.977841945674,566080.9691352788,7.229126895863697,1.0,BoJ,1.9693284763068097,1.4443410236194683,USD,,231228.22461626897
16855.11988246701,894387.327012777,-4.087242976452616,0.0,ECB,3.9436767801500205,2.20874408870802,JPY,False,364496.1613095023
16497.158000851086,1262668.525729036,,0.0,FED,3.5639928588891685,3.077647831247684,USD,True,511666.3034330551
13824.121986996231,1338502.7509277363,-2.779316046235496,2.0,ECB,0.7346304535663228,2.270130488993451,USD,True,540930.1933026838
11596.964034576147,1286775.2403192834,4.889079836858484,0.0,BoJ,2.1564884432272295,2.020062288766387,USD,True,519349.85955751117
13709.864810695337,1086969.7420620613,2.3300825184702862,1.963365655712574,FED,2.2266500646541054,1.9920836733424703,JPY,True,440272.3087656064
10696.102622791892,817258.9682456511,7.983400921983048,0.0,ECB,1.2563098704342117,2.6584716000294684,EUR,False,331183.6250275617
20558.92347243562,870815.1666720544,-7.709338670386556,1.0,FED,1.1635161784883636,2.5494755706448924,JPY,False,356548.09419006197
13583.790562633445,2118035.814987731,5.870683793573875,0.0,ECB,4.141631125257435,1.3379066420850747,JPY,True,852649.0163569045
21502.503767619994,452842.49268815806,6.6240430659613345,2.0,FED,1.6905281576229068,3.9407557253683123,JPY,False,189739.32339092443
16143.77436703786,53050.398834383,5.056484046866682,2.0,BoJ,2.029816070560482,2.5156930833580904,USD,False,27678.68057737772
14069.285424056481,555500.6455387208,-9.074706947657434,4.0,BoJ,1.0200264401529884,2.1784293808416026,USD,False,227826.15744372137
13668.609867766623,1562552.926838017,5.047480333934498,1.0,ECB,1.5281607519202662,2.227453795536757,USD,True,630489.6241783802
24065.706783272675,1487087.09149632,7.125980014151995,0.0,FED,-0.05836196624826551,0.8479724148453072,USD,True,599654.9907442582
12633.395604164694,1248674.055998133,4.363800230006484,3.0,FED,3.5477326045852764,3.001819048543732,USD,True,504523.8534009651
12249.812465445544,1816958.4872830107,,1.0,ECB,1.1382691050906157,2.722599330618679,USD,True,731683.4567564677
12124.309573981925,1493886.0898932025,3.946884539783607,0.0,FED,1.8278963192311324,2.1587647949150117,JPY,True,602404.9491637818
15820.344281521591,850747.6410799094,6.599975973172317,1.0,ECB,3.4805379975325983,1.5824774091131248,JPY,False,346628.51413976704
13829.513459555163,350495.66775420296,6.192684954925845,0.0,FED,1.0107279101434066,,USD,False,145731.31102249422
