Fatturato,Quantità Venduta,Sconto Medio,Numero di Ordini,Resi,Clienti Unici,Categoria Prodotto,Giorno della Settimana,Tipo di Cliente Prevalente,Vendite Raggiunte Obiettivo,Predict
7009.053829749612,422.4948269318895,,28.0,11.0,220.0,Abbigliamento,Mercoledì,Frequente,True,1525.6832837705826
6473.078747043127,526.1188120002128,35.474383529004065,24.0,,195.0,Elettronica,Martedì,Nuovo,True,1448.903954655789
131.2138830096754,436.6433753004803,44.77680337792077,31.0,16.0,,Casa,Lunedì,Nuovo,False,152.7581088542871
943.8688303643372,,45.93198003720778,26.0,7.0,194.0,Abbigliamento,Lunedì,Nuovo,False,373.96985747672636
6680.421959340411,558.5329135112119,41.96883132284638,32.0,14.0,182.0,Elettronica,Martedì,Frequente,True,1499.447382789161
1392.4338522871437,547.148640537698,5.735752518315146,34.0,11.0,204.0,Abbigliamento,Mercoledì,Nuovo,False,442.05778736690667
1921.0233507144537,574.149678516433,14.27501625650091,36.0,10.0,213.0,Cibo,Lunedì,Frequente,False,555.0220720721707
8330.43632497768,663.4539657600142,35.24018318600434,30.0,13.0,210.0,Elettronica,Giovedì,Frequente,True,1861.59943640494
8524.979639340656,483.31937008953224,31.124795909781866,31.0,18.0,174.0,Casa,Martedì,Nuovo,True,1846.8792593040127
2729.6689792191296,405.97122595886873,48.70922580768836,23.0,6.0,,Abbigliamento,Mercoledì,Frequente,False,662.8542410507177
1491.9551369914552,414.072335611394,20.21435465391154,27.0,8.0,201.0,Elettronica,Domenica,Frequente,False,420.59129261631807
1939.3789760191726,470.78254312355546,2.6245998295219786,26.0,5.0,178.0,,Sabato,Frequente,,528.8480981579489
6943.244911080091,398.9246871543081,19.650670117779544,24.0,3.0,218.0,Bellezza,Mercoledì,Frequente,True,1506.3613213505328
5702.364363146491,327.4387701307786,8.101339274490165,36.0,6.0,197.0,Casa,Lunedì,,True,1237.894369741083
9237.671818969504,456.67368797850327,21.627969671747643,29.0,10.0,216.0,Elettronica,Venerdì,Frequente,True,1982.3736732202772
4830.146769823435,439.5482816870741,46.97238552563615,30.0,10.0,210.0,Cibo,Mercoledì,Frequente,False,2293.1163631479576
,562.5003285123493,35.9299788374824,29.0,9.0,202.0,Cibo,Domenica,Nuovo,False,436.1752580774511
,488.59181524136073,13.115327960490486,25.0,16.0,190.0,Bellezza,,,,2136.3234143208624
4802.082268878417,507.9128596441153,18.28339839995654,33.0,8.0,,Abbigliamento,Venerdì,Frequente,False,1110.9619718289225
8230.784558526153,441.67437933908934,,22.0,10.0,197.0,Casa,Domenica,Frequente,True,1773.7483410792952
706.984620715696,184.23068054268265,16.576279202145987,26.0,9.0,187.0,Abbigliamento,Venerdì,Frequente,False,195.0085003857294
9365.054091951404,579.1377663877233,36.01224388450879,22.0,7.0,212.0,Abbigliamento,Giovedì,Nuovo,True,2043.150923918147
674.589339138123,494.42349460890404,4.285732246414453,30.0,8.0,205.0,Cibo,Venerdì,Frequente,False,282.81634298565433
7774.7668613062715,343.6057772028543,11.851904199251706,,6.0,163.0,Cibo,Giovedì,Nuovo,True,1656.8499150021853
,504.6053024851411,29.73583006620475,25.0,16.0,206.0,Elettronica,Domenica,Frequente,True,1838.7438017105776
5107.6097345688495,551.4941592515622,30.28462290946322,25.0,5.0,206.0,Abbigliamento,Mercoledì,Nuovo,True,1183.9417323982925
2646.6841374481787,383.2318826321933,19.176664274171628,27.0,12.0,201.0,Casa,Martedì,Frequente,False,642.3887258518765
4945.8593078497215,365.46133496359414,9.441626516315754,35.0,6.0,193.0,Cibo,Martedì,Nuovo,False,2293.1163631479576
9689.414232844169,514.1567709283894,47.75214710654473,27.0,8.0,201.0,Casa,Venerdì,Frequente,True,2087.354663136696
4306.687849906023,700.6299283684323,2.0263690906601015,31.0,7.0,184.0,Elettronica,Giovedì,Nuovo,False,1071.3239115826682
2776.160237998646,446.7454173129272,24.178815273932358,25.0,14.0,222.0,Casa,Martedì,Nuovo,False,686.8377912662143
8763.29105678834,457.05158778907844,6.527740362525253,24.0,5.0,,Elettronica,Martedì,Frequente,True,1889.1209136581388
2288.834491087629,590.8030078050675,45.750090750267155,29.0,18.858406501056443,217.0,Casa,Martedì,,False,630.4327914840193
86.76810981071092,561.336767187978,16.068854537196003,,16.0,,Casa,Giovedì,Nuovo,False,184.147766664816
6974.598466099915,522.8244198936263,36.80322105155609,28.0,9.0,199.0,Elettronica,Martedì,Frequente,True,1548.0866970829152
233.15821627972744,628.557408706288,49.78352449929363,23.0,4.0,183.0,Elettronica,Venerdì,Frequente,False,230.22051341790254
7234.572122320652,447.41782376876864,26.779900620165968,36.0,18.858406501056443,220.0,Casa,Lunedì,Frequente,True,1578.4617815327445
8212.747069505393,667.8689782858708,22.128819556965933,27.0,20.0,,Bellezza,Mercoledì,Frequente,True,2293.1163631479576
9322.246993217668,662.0393167390899,25.445268304877665,32.0,8.0,198.0,Cibo,Domenica,Nuovo,True,2060.516666834773
8863.044787269038,436.2227775098134,41.46978121201822,22.0,13.0,206.0,Elettronica,Lunedì,Nuovo,True,1899.32881258555
4057.538419566331,417.89720790081435,41.7305766648757,34.0,8.0,200.0,Elettronica,Martedì,Frequente,False,932.703788617023
7342.316885922474,467.37293859896164,12.392717923765733,18.0,7.0,190.0,Bellezza,Martedì,Frequente,True,1607.4359869718069
3021.927447791064,390.1892963408148,19.41548471711193,24.0,10.0,190.0,Elettronica,Giovedì,Frequente,False,
6326.87860541901,,37.53113246326845,26.0,20.0,210.0,Abbigliamento,Sabato,,True,1422.318889168785
7291.147653103118,406.5397735551141,17.565482587657655,26.0,12.0,193.0,Cibo,Sabato,Nuovo,True,1578.434914428392
2435.9025005383437,507.8417128760337,24.936617051027245,23.0,9.0,192.0,Bellezza,,Frequente,False,637.0393522653761
9562.323796606186,991.0802009398839,37.367205963207326,32.0,7.0,190.0,Abbigliamento,Domenica,Frequente,True,2084.9996069261897
7099.2794859187225,539.7136082755858,41.35414934201147,27.0,11.0,196.0,Elettronica,Martedì,Frequente,True,1577.6345647322191
,532.899980686623,8.622097261569339,27.0,11.0,195.0,Abbigliamento,Mercoledì,,True,1437.656348864083
3944.2782563185187,514.7534449005567,29.860334660056125,39.0,8.0,187.0,Elettronica,Sabato,Nuovo,False,2293.1163631479576
6386.229695534238,481.8720833628607,8.812317681276422,32.0,10.0,187.0,Elettronica,Lunedì,Nuovo,True,1420.9263323475784
7100.225876922152,520.1895104515295,36.18707776623452,27.0,10.0,184.0,Abbigliamento,Mercoledì,Nuovo,True,1572.4833207432657
3619.233912702412,609.4315849877086,34.07220216118778,23.0,6.0,167.0,Elettronica,Mercoledì,Frequente,False,
3391.2291756894165,519.8426685063386,35.06988833559504,27.0,6.0,189.0,Elettronica,Lunedì,Nuovo,False,830.6916468562254
2840.787925295307,473.51813562213016,5.3515836507197605,26.0,13.0,199.0,Cibo,Sabato,Nuovo,False,709.6778673806285
1811.630420251743,633.2091550813752,26.22919201652092,36.0,5.0,204.0,Elettronica,,Nuovo,False,549.6659113731091
183.487044492342,516.0837959668792,38.481168229777815,21.0,5.0,202.0,Elettronica,Martedì,Frequente,False,187.67443086555437
2693.2623666331924,473.52230562318016,7.772546165923449,33.0,12.0,191.0,Bellezza,Venerdì,Frequente,False,679.9319103970003
1685.5634984160884,439.0006710904317,11.203266148762781,29.0,6.0,223.0,Elettronica,Venerdì,Frequente,False,467.6925743954709
3222.3327444013485,496.66623210841186,10.176051748009874,28.0,6.0,181.0,Casa,Venerdì,Frequente,False,792.4488133379923
3325.8577214761253,604.5310278964096,15.119870237141587,33.0,6.0,189.0,,Venerdì,Nuovo,False,845.0188656404338
6890.914991170572,584.747706067594,45.66786008344292,29.0,6.0,199.0,Abbigliamento,Giovedì,Nuovo,True,1549.0405240460484
3589.921477347173,506.85279317710814,10.404349476532149,26.0,11.0,210.0,,Giovedì,Frequente,False,868.9996984749139
6457.01653731882,601.8320263707504,15.451139913412494,26.0,9.0,196.0,Abbigliamento,Domenica,Frequente,True,1470.4078013836481
3982.605629513072,535.6348752037094,48.09527805731382,39.0,10.0,198.0,Elettronica,,Nuovo,False,952.4020606579959
2974.7565521237098,,8.15159846801553,35.0,7.0,187.0,Abbigliamento,Sabato,Nuovo,False,727.0309849544238
9472.310710909851,574.1838469708449,43.88822781468911,25.0,10.0,205.0,Casa,Sabato,Nuovo,True,2063.047913710278
9201.74622967942,523.3540870251865,32.32663857181242,36.0,5.0,173.0,Abbigliamento,Lunedì,Nuovo,True,
6464.373969010992,720.8213840014439,37.40771736764831,50.04782373418253,13.0,210.0,Elettronica,Venerdì,Frequente,True,1505.380437265867
3884.3345542870834,441.40060928682453,0.6580962976549531,27.0,9.0,227.0,Casa,Mercoledì,Nuovo,False,909.2212840136987
155.3362458957952,455.7459944991201,6.620731958895687,26.0,10.0,187.0,Abbigliamento,Giovedì,Frequente,False,167.1289743330055
5448.150935142749,563.5740058050694,12.3281053639956,28.0,9.0,198.0,Cibo,Giovedì,Frequente,True,1257.4695782336712
8465.137833614794,486.6718654136487,8.598315125306694,33.0,8.0,198.0,Casa,Venerdì,Nuovo,True,1838.1692948345228
7967.030276506155,591.8150033306649,28.63692352453261,,9.0,181.0,Cibo,Giovedì,Nuovo,True,1675.7599127372534
7532.769689428233,572.2964513106841,37.20446306129755,24.0,16.0,190.0,Bellezza,Sabato,Nuovo,True,1674.5224269727219
690.9049967665648,527.0323245462705,30.952249161267474,36.0,8.0,206.0,Cibo,Martedì,Nuovo,False,293.19547180106736
9659.577958453021,495.1577070904012,36.22348795188552,36.0,17.0,193.0,Bellezza,Giovedì,Frequente,True,2076.840555022536
,473.12978554387405,3.6397910509360254,30.0,6.0,388.76376330916185,Casa,,Nuovo,,1456.2197644404648
755.815489951992,509.61148577676954,38.09717875470623,26.0,10.0,205.0,Abbigliamento,Venerdì,Frequente,False,300.2368258479587
7570.202527359868,349.038332135427,11.321456081958436,34.0,11.0,179.0,Abbigliamento,Giovedì,Nuovo,True,1617.6198595044061
2001.4541803438924,531.6840713960481,8.85096518394955,25.0,12.0,210.0,Casa,Mercoledì,,False,558.9109609691981
8014.242816351029,521.5989369039028,32.916377224672566,,15.0,206.0,Abbigliamento,Venerdì,Frequente,True,1756.0366066189097
2553.5719615144058,672.5154237026161,3.3005119599397115,34.0,8.0,203.0,Elettronica,Venerdì,Nuovo,False,712.138968217672
2404.169747901035,525.2988848735986,49.69864706708677,25.0,16.0,204.0,Casa,,Frequente,False,633.4537503355779
6293.442485238252,456.95879043027475,41.86899543026736,27.0,9.0,198.0,Cibo,Sabato,Frequente,True,1391.589234633706
3199.4159212765426,617.6724651993279,,19.0,8.0,204.0,Elettronica,Mercoledì,Frequente,False,823.8985433764285
4747.40919874998,583.5787514172714,38.106228413838366,,11.0,188.0,Cibo,Venerdì,Nuovo,False,1120.7448423337937
5075.291237845087,402.79120284810926,33.10215064855703,29.0,10.0,210.0,Abbigliamento,Giovedì,Nuovo,False,1132.5853933585945
9063.84633503693,518.2207279787283,0.4944564517655514,28.0,16.0,188.0,Elettronica,Sabato,Nuovo,True,1968.1860397558278
8845.576896567492,697.6970933168839,41.45434176637092,32.0,12.0,211.0,Cibo,Mercoledì,Nuovo,True,1974.2790731319267
2136.4250133795317,662.3939049984191,13.533061602229123,28.0,8.0,231.0,Bellezza,Venerdì,Nuovo,False,624.6498680152091
197.1861489013693,436.175346565166,28.201230696811553,31.0,,177.0,Bellezza,Giovedì,Nuovo,False,167.4697106801425
1923.7628839948684,590.8105075878439,36.244094290553676,28.0,13.0,185.0,Casa,,Nuovo,False,558.3713196462714
2778.7734934941486,466.9179482752055,0.056729330782340215,34.0,13.0,196.0,Cibo,Giovedì,Frequente,,695.8244102483131
