Prezzo Petrolio (USD),Volume di Scambi (barili),Produzione Petrolio (barili),Tipo di Raffinazione,Zona di Produzione,Conflitti Geopolitici,Domanda di Petrolio,Quota di Mercato OPEC,Tendenza dei Prezzi,Predict
50.881961747267866,37878.817396271064,802579.4406585083,3.0,0.0,True,3584286.79176469,35.24335092641706,True,2150592.427843513
48.38224732991263,52384.66693073531,,1.0,1.0,True,4190161.867889608,53.37465641699964,True,2514116.4736326966
55.27039582584515,55846.505509669216,358967.06062388315,2.0,1.0,False,3227823.54666965,52.68591875960729,True,1936716.2361601202
58.90899465441002,44561.39856671274,684029.9255888117,3.0,2.0,True,2972557.6905840496,69.31305434197967,False,1783558.1779482914
51.71713025958154,55631.01655230206,633141.1402356939,1.0,2.0,True,2415333.4756264435,21.3787802498149,False,1449220.77222797
,43632.31786557336,413273.0646072051,3.0,1.0,False,3072350.2912008357,98.44951180700625,True,1843429.573521007
61.58260262769715,55684.668038190495,521402.9742758902,0.0,2.0,True,2667804.9999697204,3.9508687762282335,False,1600707.6330228832
63.8610032528769,43530.35838281237,389640.00743578037,2.0,0.0,False,,54.80563518018323,False,1508887.622727133
59.595409441424096,55387.473722039984,452182.83068226225,2.0,0.0,False,3364185.5666243187,22.484271510548947,True,2018535.1781383676
48.870587185968105,48531.20918546126,698940.1710596338,3.0,1.0,True,3408290.1178114326,21.871025351171326,True,2044993.618921734
64.83090566943602,44679.02316422311,407761.0610860453,2.0,1.0,False,2880442.6752046035,30.866036971346066,False,1728291.5374850298
72.37565301318384,45694.02510643217,417264.56659900723,2.0,0.0,False,2988856.083847645,30.4124145610573,False,1793342.6005697923
46.201313734912105,40429.969215320874,346852.22534391447,3.0,1.0,False,3239673.805237253,46.8728526154458,True,1943822.7636678456
58.078996243004426,40679.91913383097,473760.96047334763,2.0,0.0,False,2605263.3490291163,43.284508752165486,False,1563181.241015967
42.02288708025806,56129.05564168918,275041.4338974373,0.0,1.0,False,2364149.5145855024,98.24842103961325,False,2821321.9748695544
61.9813391204496,56418.42660330792,404458.28616523143,1.0,0.0,False,3183884.459694367,76.2041567334309,True,1910355.4683522682
74.1142872077558,51872.10446487419,766950.3689108591,1.0,0.0,True,2217957.881528,27.47942263173213,False,1330804.3746316829
64.3241984557004,46097.5501237977,840416.4036109503,1.0,1.0,True,3430106.443158378,,True,2058089.5955744088
75.45103785967873,,491668.76385873335,0.0,1.0,False,3008336.3462982527,59.53689846761003,True,1805031.9881940954
