Tempo di Allenamento (ore),Numero di Competizioni,Performance (Punteggio),Tipo di Allenamento,Alimentazione,Salute Generale,Sesso Atleta,Fascia di Età Atleta,Infortunio Durante l'Anno,Predict
32.40000463229893,45.651731321799026,70.26422214820973,0.0,Vegetariana,78.74251001573424,Maschile,25-34,True,47.54569163866325
,,84.93792546433491,1.0,Mista,85.52568685716817,Maschile,45+,,51.79429958183655
38.63897318797595,,92.12770929203916,0.0,Carne,88.09965585145295,Femminile,,True,60.03446762960124
30.34124742962357,55.299446407241135,75.01537492712568,1.0,Vegetariana,96.50502917799378,Femminile,15-24,True,48.21089842862442
9.625148400051305,50.8346357375319,65.35170466881006,2.0,,76.80754467933647,Maschile,25-34,False,31.915770907554805
3.346396227330146,92.69937358245109,94.16153700784778,2.0,Carne,84.34330481764384,Maschile,25-34,False,39.672452539537204
36.517047945738796,85.60883419673175,78.35228908166025,1.7412333438407055,Carne,78.08983518262066,Femminile,25-34,True,53.25114440010738
34.46333484925057,59.53155925218944,94.96005560753868,0.0,Mista,90.4054192509862,Femminile,25-34,True,58.662023152565816
10.069486513081971,56.45871423440503,91.53822562194998,0.0,Carne,85.16697912353992,Femminile,35-44,,42.65698215662918
37.218913655246915,58.98023729952288,89.03619108668104,1.0,Vegetariana,84.34564201635364,Femminile,25-34,True,57.94582462782057
4.897703035941912,46.8847568605594,79.53521047105343,3.0,Vegana,69.55780877764751,Femminile,25-34,False,34.752706009986525
35.71860796092239,30.833556548689472,86.34851871698059,1.0,Carne,144.44073116062225,Femminile,25-34,True,55.97057226334567
30.093599506794753,31.909722619950625,75.9105079694742,0.0,Vegetariana,84.5783489211802,Maschile,25-34,True,48.42036289186653
20.277480984218656,78.76287481100174,69.6471739678546,1.0,Vegana,76.5476045474812,Femminile,45+,False,40.025358177673034
34.87492951520811,66.05850657619834,91.41690536281418,1.0,Mista,95.1266131829656,Femminile,25-34,True,57.49171985425053
16.580636855459318,44.97162397910506,100.0,0.0,Carne,78.03965677193527,Femminile,35-44,True,49.94838211327559
2.538903052899828,84.58151406245868,83.51716087676907,1.0,Carne,92.55898579572961,Femminile,25-34,False,34.93020618244753
0.5969880119224191,61.05455435228903,83.78330907586123,1.0,Vegetariana,75.33031715212377,Femminile,15-24,False,33.871516437497945
0.11138714663263105,53.85978248555667,98.23247188249749,0.0,Carne,83.07278235909207,Femminile,25-34,False,39.35982104097858
39.25136494835608,58.193861569961655,71.28121778370944,1.0,Vegana,80.88009595271585,Maschile,35-44,True,52.06330608249742
8.57965971555888,37.23552876171996,69.81645864557044,1.0,Mista,65.88778022662346,Femminile,35-44,False,33.0743792875635
29.033063604178963,39.458583304603195,84.85720076679495,1.0,Vegana,78.73755720475847,,25-34,True,51.362718469225356
28.00999556244678,76.10502278598169,70.42872793100854,0.0,Carne,79.06557085508632,,25-34,True,44.977488509871485
18.230566025240233,37.21285073418763,,,,93.15820538230815,Femminile,25-34,False,39.11018499635497
24.796904599113475,24.353314874610845,83.4138732159875,0.0,Carne,100.0,Femminile,35-44,True,48.243692045863085
21.979817105264292,31.297447931645316,72.36975954051341,1.0,Vegetariana,75.15372401899103,Maschile,45+,False,42.13579407936395
34.824907952849586,50.24815002793029,69.6710246557857,0.0,Mista,77.02289915685023,Femminile,35-44,True,48.763354634024026
33.835462635291776,,96.00020788229443,0.0,Carne,87.48733477116404,Maschile,35-44,True,58.70136073409284
6.740620252357141,46.16679362869009,,0.0,Vegetariana,78.31855863458881,Maschile,25-34,,36.58066019335521
13.116142752998536,86.95919689989316,71.58673478413822,2.0,Vegetariana,80.9507967173533,Femminile,,,36.50437956545441
38.83648460606234,12.137840989975608,91.84599026760698,0.0,Carne,87.28118009974959,Femminile,,True,60.040286870680205
5.486276689497038,71.43170789304168,83.5603937896777,0.0,Vegetariana,93.2399832659784,Maschile,15-24,False,36.7159235295693
29.18899874045679,29.85317239043887,66.91901350355892,0.0,,88.83648456368698,Femminile,25-34,True,44.281004645697635
30.97903133618829,54.140086489794456,89.410573326527,0.0,Vegana,89.2997615085389,Maschile,35-44,True,54.351648132323774
31.139351861285306,90.94986857369759,,1.0,Carne,83.81498791917299,Femminile,15-24,False,43.1607842257954
18.759258937259474,38.01142175216172,83.1240306645517,2.0,Carne,72.4385208318248,Maschile,35-44,True,44.505167628176366
24.619123460905712,85.94444869869372,90.90411394024177,3.0,Mista,83.42078256689456,Maschile,15-24,True,51.13311965264014
38.6998449825689,63.884541394396706,71.09950438014933,1.0,Vegetariana,94.48994996831631,Femminile,25-34,True,51.65970874160107
3.3376792440012837,54.444314715387776,100.0,2.0,Carne,82.7741707080582,Femminile,15-24,False,42.00260754640077
4.125262761719095,79.368278795713,90.30076164689712,1.0,Carne,56.35728241955689,Femminile,15-24,False,38.59546231579031
20.15431194429059,,75.43007892083426,0.0,Vegana,87.77362207269076,Maschile,35-44,False,42.26461873490806
35.46016468312438,96.80920201710529,71.35075270646014,2.0,Vegetariana,75.58102612920561,Femminile,,True,49.81639989245869
19.554517702108445,33.6794819725447,94.40400737688795,0.0,Carne,58.04772830854527,Femminile,25-34,True,49.494313572020246
10.001855080328546,39.12081164077469,81.65106938838397,1.0,Carne,74.37833646435628,Femminile,25-34,False,38.661540803550714
18.950352021166378,57.8090122983312,92.7524458454355,2.0,Vegetariana,100.0,Femminile,35-44,True,48.47118955087403
21.173552938981427,70.41466658490889,90.12254209001566,0.0,Mista,72.49408773899187,Femminile,15-24,True,48.753148599395125
4.553955802385565,53.37737286674222,79.95551622255482,0.0,Carne,69.79394925065151,Maschile,35-44,False,34.71457997045327
5.584000770760658,24.978254390374282,79.37412905083389,0.0,Mista,86.78882557209275,Maschile,25-34,False,35.10005208278995
17.82024471867958,43.03153856177463,76.02644382883112,2.0,Carne,76.42729063706165,Femminile,15-24,False,41.1027243627402
21.456401456602418,81.19038850196534,68.33191701066997,0.0,Carne,70.29030874586746,Maschile,35-44,False,40.20660767822944
21.80542331356073,85.29303284021547,76.19179417358251,1.0,Carne,73.63592811784304,Maschile,,False,43.55997165756944
1.1093793851643508,49.976518237236725,80.03790677678471,0.0,Mista,72.99995518006098,Maschile,25-34,False,32.6807903418125
32.55402083267078,36.4074769583881,64.55780212800984,1.0,Vegetariana,77.85588305978105,Maschile,15-24,True,45.35553335080641
16.557384620746106,57.74935285937194,62.84159656831986,0.0,Vegetariana,88.24446733788882,Maschile,15-24,False,35.07106939977561
32.243898369680856,20.914741451004694,76.80507423888588,2.0,Vegana,100.0,Femminile,35-44,,65.95424583551205
17.118544710330337,9.443459430424177,65.38564369431593,1.0,Carne,76.87197678998477,Femminile,25-34,False,36.425384303924574
14.929542827999565,11.740362659822352,71.3278065022389,2.0,Vegetariana,73.40462619892158,Maschile,35-44,False,37.4888482976953
10.426598317030411,80.13463448991104,68.58102028142177,0.0,Carne,88.25640990715854,Maschile,25-34,False,33.688367102786955
11.424785975405767,31.29943044034048,89.59439441543256,3.0,Carne,75.71105224660843,Femminile,15-24,,
36.80489959032365,52.15092736937757,66.96060406636923,0.0,Mista,66.07459832605987,Maschile,15-24,True,44.67144990518668
1.207795369218898,73.80087030449394,82.29050984910604,0.0,Vegetariana,74.85904251716038,Femminile,15-24,False,33.64088116117376
17.202277468950797,57.728714091444694,,2.0,Carne,91.93307597238217,Maschile,25-34,False,42.885932718845005
0.176191850633578,43.31561985356775,77.94215890730416,1.0,Carne,78.7605966402694,Femminile,35-44,False,31.282578673301813
36.49575483111589,47.99889515833672,80.74949434484891,1.0,Carne,91.34198629744358,Maschile,15-24,True,54.1972506366091
36.80489959032365,42.60757661733425,73.40452090605804,0.0,Vegana,,Maschile,25-34,False,32.33047027458776
4.898985998631256,62.846528005644345,90.57884608259891,2.0,Vegana,74.83993165407023,,35-44,False,39.17093003221832
34.99692399204797,39.86714663703529,66.60479859055027,3.0,,90.57994734744545,Femminile,25-34,,47.64007383144889
1.1743517808895199,51.39986616489294,97.064962222176,1.0,Mista,68.71939817941568,Femminile,45+,False,39.53059595740412
25.787344598915666,24.722094454215643,89.4268296143062,2.0,Carne,,Femminile,,True,51.24313860507188
7.812459727768251,64.72400564424574,84.0621846713468,0.0,Carne,85.17146779064927,Femminile,25-34,False,38.31234970519967
31.42579656288532,64.17205022452427,75.5273525295595,0.0,Carne,66.75801685827604,Femminile,25-34,True,49.066418949554986
